"TOA5","Carmel Valley","CR800","39464","CR800.Std.29","CPU:ManualSample.CR8","14224","Samples"
"TIMESTAMP","RECORD","BatVolts_Min","PTemp","attempted_smpl_events","SampleCounter"
"TS","RN","volts","degC","",""
"","","Min","Smp","Smp","Smp"
"2016-10-13 20:05:30",0,13.59,23.01,2,2
"2016-10-13 20:06:00",1,13.6,23.01,3,4
"2016-10-13 20:07:00",2,13.59,23.01,2,2
"2016-10-13 20:07:30",3,13.6,23.01,3,4
"2016-10-13 20:08:00",4,13.6,23.01,4,6
"2016-10-13 20:08:30",5,13.6,22.98,4,8
"2016-10-13 20:10:00",6,13.6,23.01,2,1
"2016-10-13 20:10:30",7,13.6,23.01,3,2
"2016-10-13 20:12:00",8,13.6,22.98,2,1
"2016-10-13 20:12:30",9,13.6,22.98,3,2
"2016-10-13 20:13:00",10,13.6,22.98,4,3
"2016-10-13 20:13:30",11,13.6,22.98,5,4
"2016-10-13 20:14:00",12,13.6,22.98,6,5
"2016-10-13 20:15:30",13,13.6,22.98,2,1
"2016-10-13 20:16:00",14,13.6,22.98,3,2
"2016-10-13 20:16:30",15,13.6,22.98,4,3
"2016-10-13 20:17:00",16,13.6,22.98,5,4
"2016-10-13 20:17:30",17,13.6,22.98,5,5
"2016-10-13 20:23:30",18,13.6,22.92,10,6
"2016-10-13 20:25:00",19,13.61,22.92,2,1
"2016-10-13 20:25:30",20,13.61,22.9,3,2
"2016-10-13 20:27:45",21,13.61,22.9,7,2
"2016-10-13 20:28:15",22,13.61,22.92,0,2
"2016-10-13 20:29:30",23,13.61,22.9,2,2
"2016-10-13 20:34:30",24,13.61,22.9,2,2
