"TOA5","Carmel Valley","CR800","39464","CR800.Std.29","CPU:SWM1000SP_Hach950_rev4.CR8","11767","daily"
"TIMESTAMP","RECORD","BatVolts_Min","flow_950_Tot","rain_Tot"
"TS","RN","volts","cfs","inches"
"","","Min","Tot","Tot"
"2016-10-18 16:00:00",0,13.41,251.5601,0
"2016-10-18 17:00:00",1,13.24,277.2772,0
"2016-10-18 18:00:00",2,13.16,280.4402,0
"2016-10-18 19:00:00",3,13.12,275.2025,0
"2016-10-18 20:00:00",4,13.08,273.2121,0
"2016-10-18 21:00:00",5,13.06,270.2604,0
"2016-10-18 22:00:00",6,13.04,273.4381,0
"2016-10-18 23:00:00",7,13.03,267.5446,0
"2016-10-19 00:00:00",8,13.02,266.7017,0
"2016-10-19 01:00:00",9,13.01,272.4466,0
"2016-10-19 02:00:00",10,13,275.8534,0
"2016-10-19 03:00:00",11,12.99,278.3423,0
"2016-10-19 04:00:00",12,12.98,281.4712,0
"2016-10-19 05:00:00",13,12.98,288.032,0
"2016-10-19 06:00:00",14,12.98,300.5147,0
"2016-10-19 07:00:00",15,12.97,319.1581,0
"2016-10-19 08:00:00",16,12.96,316.368,0
"2016-10-19 09:00:00",17,12.96,323.6698,0
"2016-10-19 10:00:00",18,12.99,309.9474,0
"2016-10-19 11:00:00",19,13.11,288.0486,0
"2016-10-19 12:00:00",20,13.3,291.7913,0
"2016-10-19 13:00:00",21,13.47,300.7572,0
"2016-10-19 14:00:00",22,13.3,300.8173,0
"2016-10-19 15:00:00",23,13.27,290.7313,0
"2016-10-19 16:00:00",24,13.23,286.1866,0
"2016-10-19 17:00:00",25,13.16,287.8383,0
"2016-10-19 18:00:00",26,13.12,279.9185,0
"2016-10-19 19:00:00",27,13.08,277.1521,0
"2016-10-19 20:00:00",28,13.05,287.8594,0
"2016-10-19 21:00:00",29,13.03,282.2531,0
"2016-10-19 22:00:00",30,13.01,283.6743,0
"2016-10-19 23:00:00",31,13,283.0708,0
"2016-10-20 00:00:00",32,12.99,280.8611,0
"2016-10-20 01:00:00",33,12.98,285.2678,0
"2016-10-20 02:00:00",34,12.97,289.7139,0
"2016-10-20 03:00:00",35,12.97,288.0106,0
"2016-10-20 04:00:00",36,12.96,284.5095,0
"2016-10-20 05:00:00",37,12.95,279.3841,0
"2016-10-20 06:00:00",38,12.95,278.7707,0
"2016-10-20 07:00:00",39,12.94,279.7605,0
"2016-10-20 08:00:00",40,12.94,291.7417,0
"2016-10-20 09:00:00",41,12.94,288.8239,0
"2016-10-20 10:00:00",42,12.96,280.9376,0
"2016-10-20 11:00:00",43,13.09,282.3664,0
"2016-10-20 12:00:00",44,13.26,270.331,0
"2016-10-20 13:00:00",45,13.43,268.9387,0
"2016-10-20 14:00:00",46,13.26,269.1281,0
"2016-10-20 15:00:00",47,13.23,259.8374,0
"2016-10-20 16:00:00",48,13.18,250.0423,0
"2016-10-20 17:00:00",49,13.12,251.7753,0
"2016-10-20 18:00:00",50,13.09,244.7626,0
"2016-10-20 19:00:00",51,13.05,250.0811,0
"2016-10-20 20:00:00",52,13.03,260.1971,0
"2016-10-20 21:00:00",53,13,250.8327,0
"2016-10-20 22:00:00",54,12.99,247.8522,0
"2016-10-20 23:00:00",55,12.98,246.4028,0
"2016-10-21 00:00:00",56,12.97,249.981,0
"2016-10-21 01:00:00",57,12.96,245.7265,0
"2016-10-21 02:00:00",58,12.96,247.0515,0
"2016-10-21 03:00:00",59,12.95,246.2548,0
"2016-10-21 04:00:00",60,12.95,249.6034,0
"2016-10-21 05:00:00",61,12.94,251.7435,0
"2016-10-21 06:00:00",62,12.93,255.2302,0
"2016-10-21 07:00:00",63,12.93,265.8064,0
"2016-10-21 08:00:00",64,12.93,272.304,0
"2016-10-21 09:00:00",65,12.92,271.3112,0
"2016-10-21 10:00:00",66,12.94,261.7717,0
"2016-10-21 11:00:00",67,13.06,245.5208,0
"2016-10-21 12:00:00",68,13.23,246.5362,0
"2016-10-21 13:00:00",69,13.38,254.2328,0
"2016-10-21 14:00:00",70,13.23,249.382,0
"2016-10-21 15:00:00",71,13.2,247.5229,0
"2016-10-21 16:00:00",72,13.15,245.7058,0
"2016-10-21 17:00:00",73,13.1,241.8542,0
"2016-10-21 18:00:00",74,13.06,235.4056,0
"2016-10-21 19:00:00",75,13.03,233.4355,0
"2016-10-21 20:00:00",76,13,236.7691,0
"2016-10-21 21:00:00",77,12.98,246.4263,0
"2016-10-21 22:00:00",78,12.97,244.8996,0
"2016-10-21 23:00:00",79,12.96,263.7979,0
"2016-10-22 00:00:00",80,12.95,283.098,0
"2016-10-22 01:00:00",81,12.95,297.0171,0
"2016-10-22 02:00:00",82,12.93,308.7389,0
"2016-10-22 03:00:00",83,12.93,309.0683,0
"2016-10-22 04:00:00",84,12.93,316.8135,0
"2016-10-22 05:00:00",85,12.92,323.9412,0
"2016-10-22 06:00:00",86,12.91,330.8338,0
"2016-10-22 07:00:00",87,12.9,330.5744,0
"2016-10-22 08:00:00",88,12.9,324.7611,0
"2016-10-22 09:00:00",89,12.9,324.935,0
"2016-10-22 10:00:00",90,12.91,312.5549,0
"2016-10-22 11:00:00",91,13.03,309.9831,0
"2016-10-22 12:00:00",92,13.21,294.2528,0
"2016-10-22 13:00:00",93,13.35,283.4653,0
"2016-10-22 14:00:00",94,13.26,274.3907,0
"2016-10-22 15:00:00",95,13.23,265.0081,0
"2016-10-22 16:00:00",96,13.16,257.0458,0
"2016-10-22 17:00:00",97,13.1,249.3788,0
"2016-10-22 18:00:00",98,13.06,241.781,0
"2016-10-22 19:00:00",99,13.03,245.6324,0
"2016-10-22 20:00:00",100,13,239.1248,0
"2016-10-22 21:00:00",101,12.97,240.1086,0
"2016-10-22 22:00:00",102,12.96,244.7695,0
"2016-10-22 23:00:00",103,12.94,241.8896,0
"2016-10-23 00:00:00",104,12.93,248.7472,0
"2016-10-23 01:00:00",105,12.92,243.5336,0
"2016-10-23 02:00:00",106,12.92,244.2481,0
"2016-10-23 03:00:00",107,12.91,240.4475,0
"2016-10-23 04:00:00",108,12.9,241.5162,0
"2016-10-23 05:00:00",109,12.9,243.6801,0
"2016-10-23 06:00:00",110,12.9,244.3585,0
"2016-10-23 07:00:00",111,12.89,244.0302,0
"2016-10-23 08:00:00",112,12.89,243.5028,0
"2016-10-23 09:00:00",113,12.89,246.0916,0
"2016-10-23 10:00:00",114,12.91,243.4025,0
"2016-10-23 11:00:00",115,12.93,238.0065,0
"2016-10-23 12:00:00",116,12.93,239.2731,0
"2016-10-23 13:00:00",117,12.98,241.8825,0
"2016-10-23 14:00:00",118,13.03,234.3813,0
"2016-10-23 15:00:00",119,13.02,239.7125,0
"2016-10-23 16:00:00",120,13.06,234.2485,0
"2016-10-23 17:00:00",121,13.03,239.4941,0
"2016-10-23 18:00:00",122,13,236.3367,0
"2016-10-23 19:00:00",123,12.95,232.8689,0
"2016-10-23 20:00:00",124,12.93,236.443,0
"2016-10-23 21:00:00",125,12.92,234.335,0
"2016-10-23 22:00:00",126,12.92,239.5215,0
"2016-10-23 23:00:00",127,12.91,241.2747,0
"2016-10-24 00:00:00",128,12.91,240.6676,0
"2016-10-24 01:00:00",129,12.91,243.1252,0
"2016-10-24 02:00:00",130,12.9,239.7929,0
"2016-10-24 03:00:00",131,12.9,240.3069,0
"2016-10-24 04:00:00",132,12.9,250.2931,0
"2016-10-24 05:00:00",133,12.89,247.2439,0
"2016-10-24 06:00:00",134,12.89,267.2017,0
"2016-10-24 07:00:00",135,12.89,287.5757,0
"2016-10-24 08:00:00",136,12.88,295.4634,0
"2016-10-24 09:00:00",137,12.88,288.8084,0
"2016-10-24 10:00:00",138,12.9,283.7104,0
"2016-10-24 11:00:00",139,12.91,297.1377,0
"2016-10-24 12:00:00",140,12.96,282.9468,0
"2016-10-24 13:00:00",141,13.03,278.4481,0
"2016-10-24 14:00:00",142,13.05,276.5535,0
"2016-10-24 15:00:00",143,13.03,266.9836,0
"2016-10-24 16:00:00",144,13.03,267.2867,0
"2016-10-24 17:00:00",145,13.02,264.0657,0
"2016-10-24 18:00:00",146,12.99,266.2227,0
"2016-10-24 19:00:00",147,12.95,262.4627,0
"2016-10-24 20:00:00",148,12.92,261.1078,0
"2016-10-24 21:00:00",149,12.91,264.4165,0
"2016-10-24 22:00:00",150,12.9,268.9837,0
"2016-10-24 23:00:00",151,12.9,275.4792,0
"2016-10-25 00:00:00",152,12.89,267.2292,0
"2016-10-25 01:00:00",153,12.88,266.7723,0
"2016-10-25 02:00:00",154,12.88,266.4853,0
"2016-10-25 03:00:00",155,12.87,271.2348,0
"2016-10-25 04:00:00",156,12.87,274.8044,0
"2016-10-25 05:00:00",157,12.86,280.327,0
"2016-10-25 06:00:00",158,12.86,285.0523,0
