"TOA5","Los Pen","CR800","39465","CR800.Std.29","CPU:SWM1000SP_Hach950_rev5-pulled from filter 03032016.CR8","21031","daily"
"TIMESTAMP","RECORD","BatVolts_Min","Flow_950_Tot"
"TS","RN","volts","cfs"
"","","Min","Tot"
"2016-10-04 09:00:00",0,12.35,0
"2016-10-04 10:00:00",1,12.37,0
"2016-10-04 11:00:00",2,12.37,0
"2016-10-04 12:00:00",3,12.35,0
"2016-10-04 13:00:00",4,12.33,0
"2016-10-04 14:00:00",5,12.31,0
"2016-10-04 15:00:00",6,12.29,0
"2016-10-04 16:00:00",7,12.23,0
"2016-10-04 17:00:00",8,12.12,0
"2016-10-12 16:00:00",9,12.33,0
"2016-10-12 17:00:00",10,12.34,0
"2016-10-12 18:00:00",11,12.31,0
"2016-10-12 19:00:00",12,12.34,0
"2016-10-12 20:00:00",13,12.32,0
"2016-10-12 21:00:00",14,12.33,0
"2016-10-12 22:00:00",15,12.31,0
"2016-10-12 23:00:00",16,12.31,0
"2016-10-13 00:00:00",17,12.29,0
"2016-10-13 01:00:00",18,12.3,0
"2016-10-13 02:00:00",19,12.28,0
"2016-10-13 03:00:00",20,12.27,0
"2016-10-13 04:00:00",21,12.26,0
"2016-10-13 05:00:00",22,12.26,0
"2016-10-13 06:00:00",23,12.24,0
"2016-10-13 07:00:00",24,12.23,0
"2016-10-13 08:00:00",25,12.23,0
"2016-10-13 09:00:00",26,12.21,0
"2016-10-13 10:00:00",27,12.21,0
"2016-10-13 11:00:00",28,12.19,0
"2016-10-13 12:00:00",29,12.14,0
"2016-10-13 13:00:00",30,12.16,0
"2016-10-13 14:00:00",31,12.17,0
"2016-10-18 13:00:00",32,13.44,17.32383
"2016-10-18 14:00:00",33,13.34,298.9013
"2016-10-18 15:00:00",34,13.1,251.0436
"2016-10-18 16:00:00",35,13,256.3417
"2016-10-18 17:00:00",36,12.92,258.2411
"2016-10-18 18:00:00",37,12.87,270.0872
"2016-10-18 19:00:00",38,12.84,267.2574
"2016-10-18 20:00:00",39,12.83,278.6718
"2016-10-18 21:00:00",40,12.82,289.7502
"2016-10-18 22:00:00",41,12.81,284.1771
"2016-10-18 23:00:00",42,12.8,288.3972
"2016-10-19 00:00:00",43,12.79,297.5099
"2016-10-19 01:00:00",44,12.79,294.741
"2016-10-19 02:00:00",45,12.78,303.9194
"2016-10-19 03:00:00",46,12.78,315.4896
"2016-10-19 04:00:00",47,12.77,312.8679
"2016-10-19 05:00:00",48,12.77,313.161
"2016-10-19 06:00:00",49,12.77,314.1281
"2016-10-19 07:00:00",50,12.76,321.5296
"2016-10-19 08:00:00",51,12.76,325.4707
"2016-10-19 09:00:00",52,12.82,329.7859
"2016-10-19 10:00:00",53,12.9,329.1694
"2016-10-19 11:00:00",54,13.27,330.7105
"2016-10-19 12:00:00",55,13.73,335.7962
"2016-10-19 13:00:00",56,13.36,331.7893
"2016-10-19 14:00:00",57,13.37,335.3339
"2016-10-19 15:00:00",58,13.3,337.9538
"2016-10-19 16:00:00",59,13.18,332.714
"2016-10-19 17:00:00",60,13.1,333.1763
"2016-10-19 18:00:00",61,13.02,332.2516
"2016-10-19 19:00:00",62,12.95,338.1079
"2016-10-19 20:00:00",63,12.9,335.6421
"2016-10-19 21:00:00",64,12.87,335.7962
"2016-10-19 22:00:00",65,12.83,334.101
"2016-10-19 23:00:00",66,12.81,337.0291
"2016-10-20 00:00:00",67,12.79,339.4949
"2016-10-20 01:00:00",68,12.79,336.1044
"2016-10-20 02:00:00",69,12.78,348.7416
"2016-10-20 03:00:00",70,12.77,344.8888
"2016-10-20 04:00:00",71,12.76,349.5121
"2016-10-20 05:00:00",72,12.76,350.7451
"2016-10-20 06:00:00",73,12.74,363.9987
"2016-10-20 07:00:00",74,12.74,362.6117
"2016-10-20 08:00:00",75,12.73,362.3034
"2016-10-20 09:00:00",76,12.82,365.2316
"2016-10-20 10:00:00",77,12.87,365.1976
"2016-10-20 11:00:00",78,13.24,366.0021
"2016-10-20 12:00:00",79,13.52,366.0021
"2016-10-20 13:00:00",80,13.18,365.5058
"2016-10-20 14:00:00",81,13.32,369.3925
"2016-10-20 15:00:00",82,13.27,358.4506
"2016-10-20 16:00:00",83,13.16,369.0844
"2016-10-20 17:00:00",84,13.06,360.9164
"2016-10-20 18:00:00",85,12.99,355.9849
"2016-10-20 19:00:00",86,12.93,355.0602
"2016-10-20 20:00:00",87,12.89,354.752
"2016-10-20 21:00:00",88,12.84,355.8307
"2016-10-20 22:00:00",89,12.82,355.5225
"2016-10-20 23:00:00",90,12.8,352.4403
"2016-10-21 00:00:00",91,12.79,352.4403
"2016-10-21 01:00:00",92,12.78,349.9745
"2016-10-21 02:00:00",93,12.77,345.0429
"2016-10-21 03:00:00",94,12.76,345.1971
"2016-10-21 04:00:00",95,12.75,343.1936
"2016-10-21 05:00:00",96,12.75,342.7312
"2016-10-21 06:00:00",97,12.74,345.8135
"2016-10-21 07:00:00",98,12.73,347.3546
"2016-10-21 08:00:00",99,12.73,349.0498
"2016-10-21 09:00:00",100,12.79,347.6628
"2016-10-21 10:00:00",101,12.83,349.8204
"2016-10-21 11:00:00",102,13.2,346.4299
"2016-10-21 12:00:00",103,13.6,341.4984
"2016-10-21 13:00:00",104,13.31,346.2758
"2016-10-21 14:00:00",105,13.14,338.5702
"2016-10-21 15:00:00",106,13.12,335.9503
"2016-10-21 16:00:00",107,13.03,331.4811
"2016-10-21 17:00:00",108,12.96,329.6317
"2016-10-21 18:00:00",109,12.9,324.2543
"2016-10-21 19:00:00",110,12.85,324.8543
"2016-10-21 20:00:00",111,12.82,323.1591
"2016-10-21 21:00:00",112,12.81,319.6803
"2016-10-21 22:00:00",113,12.79,318.1885
"2016-10-21 23:00:00",114,12.78,317.1628
"2016-10-22 00:00:00",115,12.76,313.0694
"2016-10-22 01:00:00",116,12.76,311.9427
"2016-10-22 02:00:00",117,12.75,310.6971
"2016-10-22 03:00:00",118,12.74,304.7745
"2016-10-22 04:00:00",119,12.73,309.809
"2016-10-22 05:00:00",120,12.72,301.4202
"2016-10-22 06:00:00",121,12.72,303.2019
"2016-10-22 07:00:00",122,12.7,297.8657
"2016-10-22 08:00:00",123,12.7,297.642
"2016-10-22 09:00:00",124,12.78,290.5978
"2016-10-22 10:00:00",125,12.8,296.049
"2016-10-22 11:00:00",126,13.12,294.398
"2016-10-22 12:00:00",127,13.32,289.0783
"2016-10-22 13:00:00",128,13.36,288.6639
"2016-10-22 14:00:00",129,13.6,287.7518
"2016-10-22 15:00:00",130,13.3,282.6631
"2016-10-22 16:00:00",131,13.19,282.1092
"2016-10-22 17:00:00",132,13.09,281.7971
"2016-10-22 18:00:00",133,13.01,277.4736
"2016-10-22 19:00:00",134,12.95,279.9839
"2016-10-22 20:00:00",135,12.89,274.0934
"2016-10-22 21:00:00",136,12.85,274.9706
"2016-10-22 22:00:00",137,12.82,271.6433
"2016-10-22 23:00:00",138,12.79,271.7646
"2016-10-23 00:00:00",139,12.77,270.2121
"2016-10-23 01:00:00",140,12.76,270.0744
"2016-10-23 02:00:00",141,12.74,266.6701
"2016-10-23 03:00:00",142,12.74,262.0435
"2016-10-23 04:00:00",143,12.74,257.0189
"2016-10-23 05:00:00",144,12.72,260.8213
"2016-10-23 06:00:00",145,12.71,257.4263
"2016-10-23 07:00:00",146,12.72,251.5868
"2016-10-23 08:00:00",147,12.7,255.1177
"2016-10-23 09:00:00",148,12.76,251.7226
"2016-10-23 10:00:00",149,12.78,246.2906
"2016-10-23 11:00:00",150,12.78,248.4634
"2016-10-23 12:00:00",151,12.84,243.982
"2016-10-23 13:00:00",152,12.96,247.6486
"2016-10-23 14:00:00",153,12.95,237.8709
"2016-10-23 15:00:00",154,13.05,239.6363
"2016-10-23 16:00:00",155,13.03,239.5005
"2016-10-23 17:00:00",156,12.95,234.4759
"2016-10-23 18:00:00",157,12.82,233.7969
"2016-10-23 19:00:00",158,12.78,234.4759
"2016-10-23 20:00:00",159,12.76,237.3277
