"TOA5","Los Pen","CR800","39465","CR800.Std.29","CPU:SWM1000SP_Hach950_rev5-pulled from filter 03032016.CR8","21031","hourly"
"TIMESTAMP","RECORD","BatVolts_Min","Flow_950_Tot","battery_coms_fail_cntr","level_coms_fail_cntr","flow_coms_fail_cntr","flow_tot_coms_fail_cntr","ModbusInterval"
"TS","RN","volts","cfs","","","","",""
"","","Min","Tot","Smp","Smp","Smp","Smp","Smp"
"2016-10-04 09:00:00",0,12.35,0,32,32,32,32,1
"2016-10-04 10:00:00",1,12.37,0,92,92,92,92,1
"2016-10-04 11:00:00",2,12.37,0,152,152,152,152,1
"2016-10-04 12:00:00",3,12.35,0,212,212,212,212,1
"2016-10-04 13:00:00",4,12.33,0,272,272,272,272,1
"2016-10-04 14:00:00",5,12.31,0,332,332,332,332,1
"2016-10-04 15:00:00",6,12.29,0,392,392,392,392,1
"2016-10-04 16:00:00",7,12.23,0,452,452,452,452,1
"2016-10-04 17:00:00",8,12.12,0,512,512,512,512,1
"2016-10-12 16:00:00",9,12.33,0,589,589,588,588,1
"2016-10-12 17:00:00",10,12.34,0,649,649,648,648,1
"2016-10-12 18:00:00",11,12.31,0,709,709,708,708,1
"2016-10-12 19:00:00",12,12.34,0,769,769,768,768,1
"2016-10-12 20:00:00",13,12.32,0,829,829,828,828,1
"2016-10-12 21:00:00",14,12.33,0,889,889,888,888,1
"2016-10-12 22:00:00",15,12.31,0,949,949,948,948,1
"2016-10-12 23:00:00",16,12.31,0,1009,1009,1008,1008,1
"2016-10-13 00:00:00",17,12.29,0,1069,1069,1068,1068,1
"2016-10-13 01:00:00",18,12.3,0,1129,1129,1128,1128,1
"2016-10-13 02:00:00",19,12.28,0,1189,1189,1188,1188,1
"2016-10-13 03:00:00",20,12.27,0,1249,1249,1248,1248,1
"2016-10-13 04:00:00",21,12.26,0,1309,1309,1308,1308,1
"2016-10-13 05:00:00",22,12.26,0,1369,1369,1368,1368,1
"2016-10-13 06:00:00",23,12.24,0,1429,1429,1428,1428,1
"2016-10-13 07:00:00",24,12.23,0,1489,1489,1488,1488,1
"2016-10-13 08:00:00",25,12.23,0,1549,1549,1548,1548,1
"2016-10-13 09:00:00",26,12.21,0,1609,1609,1608,1608,1
"2016-10-13 10:00:00",27,12.21,0,1669,1669,1668,1668,1
"2016-10-13 11:00:00",28,12.19,0,1729,1729,1728,1728,1
"2016-10-13 12:00:00",29,12.14,0,1789,1789,1788,1788,1
"2016-10-13 13:00:00",30,12.16,0,1849,1849,1848,1848,1
"2016-10-13 14:00:00",31,12.17,0,1909,1909,1908,1908,1
"2016-10-18 13:00:00",32,13.44,17.32383,1970,1970,1969,1969,1
"2016-10-18 14:00:00",33,13.34,298.9013,1970,1970,1969,1969,1
"2016-10-18 15:00:00",34,13.1,251.0436,1970,1970,1969,1969,1
"2016-10-18 16:00:00",35,13,256.3417,1970,1970,1969,1969,1
"2016-10-18 17:00:00",36,12.92,258.2411,1970,1970,1969,1969,1
"2016-10-18 18:00:00",37,12.87,270.0872,1970,1970,1969,1969,1
"2016-10-18 19:00:00",38,12.84,267.2574,1970,1970,1969,1969,1
"2016-10-18 20:00:00",39,12.83,278.6718,1970,1970,1969,1969,1
"2016-10-18 21:00:00",40,12.82,289.7502,1970,1970,1969,1969,1
"2016-10-18 22:00:00",41,12.81,284.1771,1970,1970,1969,1969,1
"2016-10-18 23:00:00",42,12.8,288.3972,1970,1970,1969,1969,1
"2016-10-19 00:00:00",43,12.79,297.5099,1970,1970,1969,1969,1
"2016-10-19 01:00:00",44,12.79,294.741,1970,1970,1969,1969,1
"2016-10-19 02:00:00",45,12.78,303.9194,1970,1970,1969,1969,1
"2016-10-19 03:00:00",46,12.78,315.4896,1970,1970,1969,1969,1
"2016-10-19 04:00:00",47,12.77,312.8679,1970,1970,1969,1969,1
"2016-10-19 05:00:00",48,12.77,313.161,1970,1970,1969,1969,1
"2016-10-19 06:00:00",49,12.77,314.1281,1970,1970,1969,1969,1
"2016-10-19 07:00:00",50,12.76,321.5296,1970,1970,1969,1969,1
"2016-10-19 08:00:00",51,12.76,325.4707,1970,1970,1969,1969,1
"2016-10-19 09:00:00",52,12.82,329.7859,1970,1970,1969,1969,1
"2016-10-19 10:00:00",53,12.9,329.1694,1970,1970,1969,1969,1
"2016-10-19 11:00:00",54,13.27,330.7105,1970,1970,1969,1969,1
"2016-10-19 12:00:00",55,13.73,335.7962,1970,1970,1969,1969,1
